2101;Benešov;51
2102;Beroun;48
2103;Brandýs n. Lab.-St.Boleslav;58
2104;Čáslav;37
2105;Černošice;79
2106;Český Brod;21
2107;Dobříš;24
2108;Hořovice;37
2109;Kladno;48
2110;Kolín;69
2111;Kralupy nad Vltavou;18
2112;Kutná Hora;51
2113;Lysá nad Labem;12
2114;Mělník;39
2115;Mladá Boleslav;98
2116;Mnichovo Hradiště;22
2117;Neratovice;12
2118;Nymburk;39
2119;Poděbrady;35
2120;Příbram;74
2121;Rakovník;83
2122;Říčany;52
2123;Sedlčany;22
2124;Slaný;52
2125;Vlašim;48
2126;Votice;15
3101;Blatná;26
3102;České Budějovice;79
3103;Český Krumlov;32
3104;Dačice;23
3105;Jindřichův Hradec;58
3106;Kaplice;15
3107;Milevsko;26
3108;Písek;49
3109;Prachatice;44
3110;Soběslav;31
3111;Strakonice;69
3112;Tábor;79
3113;Trhové Sviny;16
3114;Třeboň;25
3115;Týn nad Vltavou;14
3116;Vimperk;21
3117;Vodňany;17
3201;Blovice;19
3202;Domažlice;58
3203;Horažďovice;20
3204;Horšovský Týn;18
3205;Klatovy;44
3206;Kralovice;44
3207;Nepomuk;26
3208;Nýřany;54
3209;Plzeň;15
3210;Přeštice;30
3211;Rokycany;68
3212;Stod;24
3213;Stříbro;24
3214;Sušice;30
3215;Tachov;27
4101;Aš;5
4102;Cheb;21
4103;Karlovy Vary;41
4104;Kraslice;8
4105;Mariánské Lázně;14
4106;Ostrov;15
4107;Sokolov;30
4201;Bílina;8
4202;Děčín;34
4203;Chomutov;25
4204;Kadaň;19
4205;Litoměřice;40
4206;Litvínov;11
4207;Louny;41
4208;Lovosice;32
4209;Most;15
4210;Podbořany;11
4211;Roudnice nad Labem;33
4212;Rumburk;12
4213;Teplice;26
4214;Ústí nad Labem;23
4215;Varnsdorf;6
4216;Žatec;18
5101;Česká Lípa;41
5102;Frýdlant;18
5103;Jablonec nad Nisou;12
5104;Jilemnice;21
5105;Liberec;28
5106;Nový Bor;16
5107;Semily;22
5108;Tanvald;10
5109;Turnov;36
5110;Železný Brod;11
5201;Broumov;14
5202;Dobruška;26
5203;Dvůr Králové nad Labem;28
5204;Hořice;29
5205;Hradec Králové;81
5206;Jaroměř;15
5207;Jičín;77
5208;Kostelec nad Orlicí;22
5209;Náchod;36
5210;Nová Paka;5
5211;Nové Město nad Metují;13
5212;Nový Bydžov;23
5213;Rychnov nad Kněžnou;32
5214;Trutnov;31
5215;Vrchlabí;16
5301;Česká Třebová;5
5302;Hlinsko;22
5303;Holice;14
5304;Chrudim;86
5305;Králíky;5
5306;Lanškroun;22
5307;Litomyšl;35
5308;Moravská Třebová;33
5309;Pardubice;56
5310;Polička;20
5311;Přelouč;42
5312;Svitavy;28
5313;Ústí nad Orlicí;16
5314;Vysoké Mýto;40
5315;Žamberk;27
6101;Bystřice nad Pernštejnem;39
6102;Havlíčkův Brod;57
6103;Humpolec;25
6104;Chotěboř;31
6105;Jihlava;78
6106;Moravské Budějovice;47
6107;Náměšť nad Oslavou;27
6108;Nové Město na Moravě;30
6109;Pacov;24
6110;Pelhřimov;71
6111;Světlá nad Sázavou;32
6112;Telč;45
6113;Třebíč;93
6114;Velké Meziříčí;57
6115;Žďár nad Sázavou;48
6201;Blansko;43
6202;Boskovice;73
6203;Brno;1
6204;Břeclav;18
6205;Bučovice;20
6206;Hodonín;18
6207;Hustopeče;28
6208;Ivančice;17
6209;Kuřim;10
6210;Kyjov;42
6211;Mikulov;17
6212;Moravský Krumlov;33
6213;Pohořelice;13
6214;Rosice;24
6215;Slavkov u Brna;18
6216;Šlapanice;40
6217;Tišnov;59
6218;Veselí nad Moravou;22
6219;Vyškov;42
6220;Znojmo;111
6221;Židlochovice;24
7101;Hranice;32
7102;Jeseník;24
7103;Konice;21
7104;Lipník nad Bečvou;14
7105;Litovel;20
7106;Mohelnice;14
7107;Olomouc;46
7108;Prostějov;76
7109;Přerov;59
7110;Šternberk;22
7111;Šumperk;36
7112;Uničov;10
7113;Zábřeh;28
7201;Bystřice pod Hostýnem;14
7202;Holešov;19
7203;Kroměříž;46
7204;Luhačovice;15
7205;Otrokovice;10
7206;Rožnov pod Radhoštěm;9
7207;Uherské Hradiště;48
7208;Uherský Brod;30
7209;Valašské Klobouky;20
7210;Valašské Meziříčí;18
7211;Vizovice;16
7212;Vsetín;32
7213;Zlín;30
8101;Bílovec;12
8102;Bohumín;3
8103;Bruntál;31
8104;Český Těšín;2
8105;Frenštát pod Radhoštěm;6
8106;Frýdek-Místek;37
8107;Frýdlant nad Ostravicí;11
8108;Havířov;5
8109;Hlučín;15
8110;Jablunkov;12
8111;Karviná;4
8112;Kopřivnice;10
8113;Kravaře;9
8114;Krnov;25
8115;Nový Jičín;16
8116;Odry;10
8117;Opava;41
8118;Orlová;3
8119;Ostrava;13
8120;Rýmařov;11
8121;Třinec;12
8122;Vítkov;12
